통계표,계정항목,단위,변환,2022,2021,2020,2019,2018,2017
"2.1.2.2.3. 국내총생산에 대한 지출(원계열, 명목, 분기 및 연간)","국내총생산에 대한 지출","십억원 ","원자료","2,150,575.8","2,071,658","1,940,726.2","1,924,498.1","1,898,192.6","1,835,698.2"
"2.1.2.2.3. 국내총생산에 대한 지출(원계열, 명목, 분기 및 연간)","국내총생산에 대한 지출","%","전년말대비증감률","3.8","6.7","0.8","1.4","3.4","5.5"
