자치구별,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월
서울특별시,4.598941754517112,6.326202801701532,5.528745279060009,4.368515586385599,4.761597308346582,4.126015713888964,4.095903872383537,4.638076448001609,4.000089877036979,3.9828428481195686,4.009364617660149,4.320000287880069
종로구,4.543044016263037,6.63882976560064,5.163625518531573,4.063817385764439,4.410609303459673,3.8764105902777777,4.310157817669071,4.807353856984268,4.189733093396706,3.977569476896011,3.8931549830732397,4.160002206166235
중구,4.5387279596977335,6.390233172019358,5.647121551899885,4.254785850800514,4.549154664996869,3.9166327902686136,3.955340412242349,4.546093640155599,3.995260663507109,3.81609340885359,3.810533981351022,4.330128763521754
용산구,4.660841365642735,6.008962153796317,5.280243150161411,4.942808622285319,5.546687233202999,4.788128017164313,4.439561224854397,4.6870817495583275,4.061698528475544,4.0559962159802065,4.245484736818161,4.363189290105186
성동구,4.645631719428001,6.787751515422308,5.6075461039298915,4.179652922930444,4.377144473306192,4.0594966015767495,4.19683451524329,4.607178938610566,3.9538481082656425,3.6849078211663264,3.873796230374339,3.9180825925509173
광진구,4.6796799771751925,6.510430537061696,5.787601116336152,4.408210424551103,4.908434402040419,4.15881688018086,4.138012177545077,4.62961873728046,3.7351332837284015,3.8445643574878083,4.005290005667863,4.189236285449315
동대문구,4.420696411078458,6.516715816347637,5.383776775980436,3.821986442676098,4.113888643523834,3.5437913035290793,3.6726917784859996,4.845874434462159,4.374720699955311,3.9237463932913754,3.4792011942123016,3.6815738816645376
중랑구,3.9344138953975794,5.332506256550662,5.224488926065437,4.082935627523902,4.372415406040375,3.6463536463536466,3.6718737551057266,4.056128274990307,3.4930911456805664,3.491814559362448,3.4687169855616857,3.4778804031737396
성북구,4.114759899682533,7.833157564919681,6.398507825804882,4.0168854964923115,4.297467203007823,3.647855256980448,3.5282308910611424,4.4353294499425555,3.550316820859566,3.524944946465183,3.4405180538524682,3.6715681797424424
강북구,3.3204408803769487,4.731159009525916,4.646052858870271,3.6694331382291354,4.201814090262725,3.668440792013678,3.6302152922216555,3.8318503622489737,3.355305477358086,3.423681443356024,3.4677838174704845,3.3808458004476383
도봉구,3.2055950106348465,4.319341540058235,4.401596127805468,3.6787419264251615,3.9035343394434006,3.684316488826253,3.4447836236308134,3.7920489296636086,3.3766177521455742,3.2933634611358564,3.4311140646783063,3.53146954234005
노원구,4.483598272535146,5.9400043070071336,4.864766165293406,3.4107875860116614,3.815852572446393,3.514958584320129,3.405868686314326,3.871501813408705,3.518664660108648,3.2726788893171097,3.2364821444964655,3.417302565045509
은평구,3.8919688865924673,4.76555922995707,4.807647621968789,4.933209647495362,5.009506450971231,4.254001986556097,4.154224607815536,4.452740680578501,4.0785224764781045,4.169500051233803,4.5112325723594235,4.593783313695787
서대문구,5.398477227887848,7.542997712777352,5.9864592813215305,4.235572752433802,4.3893615411597215,3.7782527127414665,4.003103074240364,5.172744327440536,3.875830264652235,3.7385171168071567,4.238639018290253,5.04880072978182
마포구,4.789713784040585,6.530087500069269,5.7309825015771825,4.585048921946252,5.037076329719635,4.235444798993033,4.2362413146575495,4.729338763274056,3.9559097093039397,3.9158919531671104,4.031307673492985,4.64783101219431
양천구,4.454436252631115,5.794507799981278,4.745137952851209,4.260640607736326,4.660814309507973,3.8486265502480945,3.998462341085697,4.343101745143233,3.6696387707950793,3.959309698406572,3.7483111368461683,4.159790713461783
강서구,4.084307891713554,5.408205248773033,5.0694862274921855,4.5061807526783255,4.87368313388565,4.357986299721838,4.173054862615853,4.2942841220756796,3.9102491495884046,3.714350417859856,3.8625982093915585,4.376737779369157
구로구,3.910284705363055,4.87632975794551,4.7532927285120605,3.963927327083081,4.2825059166561426,3.5021847484794586,3.565261721126807,4.021615222728867,3.432261610332509,4.592727133470833,4.334370394629114,4.260161716261469
금천구,4.144655954551236,4.692612728394957,4.75327935836626,4.317641224774536,4.856891421866488,4.2331580663228205,3.9387692076555183,4.148841243234679,3.9469173070651493,3.9239955842504934,3.865809084902268,3.9462130904894512
영등포구,4.737558372248166,6.347093710403867,5.431126556248107,4.377922994845443,4.794011861691406,4.230791644371925,4.1309373297291,5.398831914994645,4.437722495338193,4.3632837750484805,4.271122507364004,4.55854939840705
동작구,4.935182833582803,6.968140105984231,5.955401541688348,4.308073017097314,4.865524102959111,4.3115593980147295,4.326000767361555,5.110607463210648,4.437170394617203,4.315448286946506,4.487719995488649,4.921597864059901
관악구,5.026791996680318,6.612638556250157,6.125583043675922,4.601139295695121,5.289730881467413,4.637858312931068,4.598764447563452,5.29757110762579,4.783491156481828,4.581865917608282,4.514033392349527,4.744678675565804
서초구,5.64210798607845,7.630942645856253,6.239147708879013,4.704253564274773,5.4049115195529405,4.6437546455243695,4.822481717386176,5.284930001122818,5.053069719042664,4.877903726523378,4.457074840053563,5.196454226254702
강남구,5.96032988740651,8.077686950740302,6.3082877261180155,4.854075112848295,5.410227693722773,4.871745747919194,4.974760468983232,5.755939662459804,4.426433648427169,4.4056297489227925,4.544188060200526,5.325697985625728
송파구,5.355552413939351,8.036436819624374,6.6319193563095835,5.041116232156115,5.212999975519255,4.392577913385689,4.38122640817652,4.758231709445263,4.055404576137459,4.172761297428504,4.285283135405262,4.836880777102576
강동구,4.905707134537705,6.1786177726268665,5.723383813872409,4.90606357403615,5.309918069623535,4.418789220204968,4.055897226311876,4.383238245130829,3.8047695539354995,3.8029860483045947,3.93211490832151,4.105970747246116
