자치구별,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월
서울특별시,5.957759754625116,7.774472218150674,7.6299389573647804,5.996200974632278,5.445775915090737,5.668606109930576,5.400582255219974,5.810069374844608,6.034273201004215,5.98589360820851,5.543811983791831,6.277928652041194
종로구,5.3933040243490025,7.313448965256389,7.032946285282733,5.481904197903067,4.836845500483819,5.1344349436890075,4.849540915488238,5.072289156626506,5.471473798105823,5.0230507115654435,4.857142857142857,5.163793448262069
중구,5.4064380552106215,7.20293258854894,7.1901023078753274,5.322470716900984,5.136477211626657,5.215140322631562,4.870892944461095,4.998426188227888,6.0147183696575155,5.045568824638592,5.115760374454183,5.613478629526113
용산구,6.132703223878975,6.918840841383046,6.9227647774922225,5.607139962354891,5.21653985393329,5.444231355187927,5.156529516994633,5.393587306686657,6.461481000613601,6.169531229203454,5.434609321028112,6.083488810094347
성동구,5.871128400082515,7.844797749582097,7.881718923940048,6.075404055678909,5.55440933742042,5.634227620147569,5.314268911269573,5.380104927476597,5.699653185986363,6.008324876082895,5.121033921881785,5.937293000662398
광진구,5.632246706732229,7.1780738946093265,7.436156503536273,5.950029895095392,5.292927102533521,5.551179445242834,5.001201056930098,5.434815210284158,5.550860916832977,5.65459076097374,5.347753524791683,6.156713074952068
동대문구,5.584117693585383,7.593846303171484,7.961689022803865,5.650813214432442,4.736471310809102,5.137247598392319,4.785133983751545,5.451887883162706,5.555754879448909,5.193035307619201,4.960938433236974,5.404002434396592
중랑구,4.835675069041777,5.633013612841557,6.466359345845681,5.439257151940712,5.068058820313781,5.175385958212864,5.51776348396303,6.87985178524028,6.038604281801533,5.361034981333218,5.08647163407144,5.126398450946644
성북구,5.762697799376585,7.952664680569348,7.288920077811777,5.433936989618486,4.935938583202814,5.094225484969036,4.9170500773652766,4.966082170741073,5.185306506840551,5.416677327738403,5.086750183022664,5.387008945935434
강북구,4.383407994128684,5.447137036242762,6.068160629812507,5.302346103730463,4.894883528885525,5.2679669412403225,4.705074503879695,4.589378611724981,5.068934769188559,4.8595912262526335,4.9513170805343805,5.201650490760542
도봉구,4.487073042184984,5.727704949966452,6.0961795158555505,5.4878752054439035,5.114966118660301,5.0235309356245414,4.930970726408104,4.923929072402259,5.572938020125298,5.741826421609178,5.085269757275969,5.409232715614532
노원구,5.922028619606181,8.033427313100043,7.052332971061212,5.244314364340871,4.615794722836304,4.8651427050395375,4.572820969355446,5.083968064604937,5.388023963082907,5.10273831205472,4.719400041281563,6.429651349246345
은평구,5.092770806066672,6.208414003161137,6.685589960088182,6.141657605701941,5.71050721869987,7.412752060152659,6.847853791619072,5.686350126039354,6.085270772018269,5.6041818053960295,5.338987811043083,5.506885944818946
서대문구,6.830222222222222,9.016201983309621,8.999430014988494,6.217075035599295,4.978211145541154,5.285264751644886,5.153080069971495,6.399627839804476,6.8750259526347115,5.8680281709628765,5.283605820745913,6.024662036205968
마포구,6.063942675231912,8.488053092308217,8.244338085424083,6.136009297842787,5.689781639677256,5.52764385166494,5.42667491702762,5.85748453237814,6.500462197820667,6.131676406156329,5.799895749844466,6.232000986093836
양천구,5.78764535375523,8.142595462871636,6.462048287833359,6.965785354852824,6.613572054448953,5.751988290098343,5.423457565334326,5.715237117407109,5.588184727329196,5.91596918130924,5.250534525352565,6.110732811833939
강서구,5.047384540556151,6.643180101209888,7.178592425420546,5.857385720397863,5.25657544236168,5.475547780978088,5.277278166178761,5.819374373114648,6.022915837606902,5.925598073561735,5.594185523752436,6.318028930789342
구로구,5.2991743015495985,6.615853658536586,6.608376815681851,5.473646241940575,5.393931896900725,5.896270049953187,5.34053606679305,6.178090438815555,6.474704102518465,5.761838099682244,5.353121914966779,5.53145997086373
금천구,5.193693693693693,5.9171331781789425,6.308834340427821,5.22153738806838,5.0318948006129505,5.389535400195434,4.635691095853957,5.5599177746212955,5.6099467015550495,5.106714659800496,5.14059523601475,5.357625419517936
영등포구,5.879466094489177,9.25237084217976,9.08558986851803,6.760204796913466,5.603132838380622,6.176197389132696,5.525712450297385,6.70693066033317,6.387605924640419,7.044178507191787,6.737580934762501,6.9317972649609665
동작구,5.898419789673895,8.31641547322197,7.985761521998668,6.0229592396672444,5.36614160317443,5.561276472863782,5.1492902594224175,5.695267076020214,5.860700460929569,5.837528989403593,5.437946690417744,6.178180416763919
관악구,6.268954034607837,7.6643552473663155,7.921406411582213,6.118394621709981,5.923148053015515,6.099775313738743,5.358242735466377,5.756028740146028,5.67669883159914,5.384746915803528,5.429320952841825,6.259574762291174
서초구,6.92435462661776,8.958447317649092,7.417329185390022,5.855578154078393,5.987955064452485,6.7736410763342105,6.610463646185321,6.582981930310021,7.288322198716878,8.970297143978348,6.722955632068562,7.684637641064657
강남구,7.426198669026367,9.43429306945935,7.734650549601069,6.279487322326162,6.11560118960892,5.960579739939353,6.1513311336782595,6.6215430895976475,6.4784784271497005,7.583934387095674,6.576655237770726,7.808508464184747
송파구,6.7454332460404745,8.511407483767512,8.012502640520443,6.07170972589995,5.433193837400873,5.568743641458583,6.0063611011187135,6.435149150024346,6.376658126552412,6.529731344132664,6.5077656138405935,7.459240527878166
강동구,9.112308473075553,11.737179282189034,12.826612075634541,8.309865777773133,6.317655744694125,5.923509153525467,5.564139000129182,6.03638538809018,7.049773383624013,6.547936494913029,5.809536486223597,8.463656303594421
