"행정구역(시군구)별",2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12
"서대문구",137416,137701,137758,137769,137759,137725,137666,137812,138027,138085,138261,138549,138931,139589,139811,139874,139963,140007,139994,139964,140007,139984,139990,140157,140625,141279,142109,142559,142963,143323,143487,144024,144494,144546,144655,144838,144808,144891,143180,143087,143112,143226,143274,143521,143712,143723,143720,143647,143948,144717,145044,145246,145397,145517,145662,146054,145285,145325,145542,145797
"마포구",169586,169996,170219,170351,170526,170788,170955,171142,171320,171836,172172,172505,172900,173351,173517,173571,173816,173845,173852,173851,174181,174466,174795,175023,175282,175694,176133,176385,177230,177544,177770,178114,178495,178483,178417,178482,178543,178815,177170,177796,178245,178625,179007,179471,179541,179571,179657,179861,179969,180457,180702,180696,180978,181138,181340,181463,180085,179959,179892,180084
"양천구",176650,176725,176559,176452,176350,176234,176284,176380,176598,176598,176574,176498,176516,176620,176680,176793,176990,177045,177197,177361,177339,177244,177212,177256,177326,177425,177436,178257,179177,179677,179959,180185,180309,180410,180534,180633,180677,181363,180682,180783,180961,181012,181098,181191,181281,181434,181439,181404,181482,181603,181765,181921,181921,181987,182095,182220,181353,181370,181335,181187
"강서구",254783,255379,256042,256361,256524,256560,256746,257140,257558,257875,258213,258503,259101,259692,260152,260660,261153,261383,261662,261802,262108,262293,262442,262708,263166,263413,263645,264111,264659,265252,265762,266197,266366,266606,266920,266982,267162,268129,267442,268133,268636,269276,269653,269976,270389,270623,270877,271175,271576,272216,272572,273025,273756,274301,274595,274551,273691,273776,273650,273697
"구로구",171468,171426,171751,171852,171848,171882,171827,171914,172121,172274,172363,172457,172639,172835,173585,174159,174302,174505,174918,175421,175844,176105,176437,176568,176820,177120,177275,177432,177848,178367,178821,179392,179792,180012,180306,180531,180620,180861,180027,180042,180196,180258,180324,180322,180424,180541,180726,180929,181240,181612,181916,181966,182113,182172,182427,182464,181950,182789,183210,183655
"금천구",106262,106305,106333,106284,106325,106307,106464,106572,106774,106995,107605,107971,108327,108671,108823,109264,109589,109708,109849,109938,110072,110164,110339,110622,111000,111287,111542,111787,112244,112570,112734,113347,113887,114183,114442,114715,114955,115161,114402,114538,114949,115358,115910,116308,116545,116935,117326,117595,117935,118271,118697,118977,119315,119627,119809,119913,119587,119572,119561,119583
"영등포구",167854,168381,168784,169083,169220,169264,169466,169867,170208,170504,170693,171085,171649,172358,172828,173116,173503,173701,173940,174098,174309,174440,174494,174806,175237,176625,177743,178323,179007,179787,180574,181469,182087,182917,183790,184714,185331,185969,184133,184525,184824,185025,185467,186135,186360,186585,186774,187020,187375,187834,188193,188377,188506,188759,189037,189541,188768,188734,188756,188832
"동작구",173019,173304,173544,173769,174082,174427,174872,175559,175873,176203,176460,177176,178106,179203,179709,180058,180383,180463,180524,180618,180841,180823,180747,180753,180862,181268,181761,182236,182962,183537,183870,184030,184193,184119,184132,184229,184098,184171,183579,183826,183959,183859,184175,184556,184825,184598,184775,184812,185059,185688,186419,186696,186948,187380,187656,187962,186966,186655,186197,185773
"관악구",256311,257333,258536,259081,259328,259681,260090,260777,261401,261801,261802,262222,263109,264514,265360,265724,266389,266692,267243,267876,268226,268109,268218,268559,269072,269964,270760,271313,272524,273715,274381,275016,275248,274869,274841,274811,274910,275301,273736,273751,274141,274565,274975,275732,276182,276315,276400,276597,277135,278497,279353,279822,280657,281423,282141,283092,282806,283378,283538,283623
"서초구",173802,174139,174225,174297,174276,174268,174126,174084,173912,173624,173177,172918,172893,173142,172929,172962,172988,172907,173032,173253,173215,173183,173113,173199,173388,173635,173580,173561,173849,173998,174012,173827,173483,173283,173391,173502,173514,173414,172181,171947,171736,171574,171743,171860,171497,171083,170521,170244,170096,169979,169895,169740,169642,169518,169560,169217,168175,168146,168025,167749
"강남구",231521,231560,231219,230540,229743,229160,228853,228938,228883,229057,228735,228775,228980,229371,229546,229930,230375,230752,231093,231631,232115,232534,232750,232981,233363,233849,233624,233363,233354,233484,233673,234024,234021,234588,234785,234872,234688,234776,233363,233203,232936,232707,232642,233815,234218,234533,234463,234233,234383,234634,234612,234607,234833,234885,235147,235409,233687,233474,233287,232777
"송파구",265311,265977,266550,267094,267640,268325,268802,269220,269558,270080,270342,270866,273084,275120,276815,277807,278273,278223,278256,278232,278340,278118,278233,278711,279137,279378,279301,279460,279817,280135,280769,281361,281417,281252,281433,281959,282125,282003,280237,280324,280635,280707,280881,281593,282018,282185,282296,282417,282940,284218,285106,285532,285939,286119,286381,286514,285175,285087,284952,284853
"강동구",177338,177463,177490,177587,177612,177605,177579,177595,177591,177513,177304,177247,177245,177299,177140,177156,177250,177368,178147,178706,178969,180965,182094,183390,185222,187626,190019,191399,192334,193095,193525,193924,194602,195008,195334,196499,197452,199039,199088,199561,199931,200170,200595,200791,201205,201428,201521,201613,201765,201906,201926,202158,202489,202861,203087,203320,202325,202341,202283,202169
