자치구별,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월
서울특별시,6.039211518251801,6.7653012385744145,6.358400362439588,5.609690353919143,5.30254175150098,4.408696256229028,5.330478378942971,5.30113362825045,4.944576140295432,6.047106467172394,5.337986245776126,5.998236900086769
종로구,5.301868613534896,6.880808518709188,6.425034499553535,4.880789591259258,5.019231811040685,4.174567914612342,4.875999457921128,5.115037532858188,4.74561142517108,4.975238816875491,4.689591756703764,5.491771133379312
중구,5.182431993767448,6.135664562085155,5.503236245954692,4.864332002779618,4.779144376383883,4.908617028122788,5.556889294345481,5.689575240196314,4.765708625565159,5.336378737541528,4.703590758865135,5.266261814820128
용산구,5.6493137632162425,6.061382009730401,5.63369983457176,5.198485984384428,5.4471403654560895,4.756955839988331,5.2215968085687745,5.032934240692892,4.870304155180101,5.501824236413761,5.093485140591467,6.064871147594573
성동구,5.745609878775067,6.8214264902977675,6.0722638746202104,5.307435809504352,5.09253853339561,4.2324215325267405,4.877727628508518,5.162088555698723,4.731581492826052,5.682986284472378,5.010294117647058,5.644959436976398
광진구,5.83803102317527,6.6187772899022,6.050409886210694,5.5264155326510895,5.582136187767755,4.591432092438718,5.117158896753722,5.273582720834705,4.81443355484763,5.821033659700911,5.365339892120931,6.109056851631109
동대문구,5.906319941635444,7.144222056475723,6.8607145498927435,5.154505803208398,4.98643752960063,4.620788327980793,5.226758551344856,4.928965626950233,4.372089043189125,4.968655676805201,4.8639414276998165,5.609320851934637
중랑구,4.643687064291247,4.656713778966329,5.086598006424479,5.025053528463898,4.801999591694853,4.186169596930252,4.840026028167772,4.577808407994486,4.314183677968344,5.568358492022361,4.844542447629548,5.585998380870034
성북구,5.2073231497902395,6.7276181936571975,7.759580219430752,6.183853710523262,5.0556207784276666,4.119251733218398,5.313637269399784,5.03886511764152,4.4645235421617535,6.80474449708019,5.483158906172904,5.674171305142477
강북구,4.517113338860133,4.423257594209959,5.192011861091583,4.93293218001755,4.728817099491749,3.979812043160459,4.119985795553451,4.2152822255019355,3.8655345211581293,5.950055949013421,5.292220179667718,4.8940579579558765
도봉구,4.44069539276948,4.524297286145516,4.942283336348833,4.763730539961803,4.7014289223122825,3.887765419615773,4.488868040269909,4.407403398636216,4.24377538725713,5.084097307442431,4.949486925815467,4.9636122101250475
노원구,5.1480229107722035,5.9060587937617886,5.361243272039238,4.362718503737897,4.125502017259285,3.3541492306701857,4.41980048520672,4.722827614488253,4.322807728809811,5.253229652382863,4.887462475963867,5.803674308416987
은평구,5.850973215285247,6.178458612139534,6.325080982147613,5.830936208271894,5.367555059588509,4.3404160812657215,5.140482079915908,5.661961635903004,6.395062918856372,6.776793375044587,5.421442825879472,5.381811528257279
서대문구,6.521942547019743,7.9619454254991435,6.260594659933767,5.241145602470795,5.425005179940412,4.307641760769104,4.787348029201252,5.019862250292932,4.695479511738699,5.130586352726025,4.928209157796985,5.807772712030081
마포구,6.097744360902255,6.733736753753944,6.2414633724649455,5.522235857372487,5.116905233120081,4.073168627225402,5.2090283689575045,5.421309052004303,5.619441844977351,6.1565004069560825,5.423496095426071,5.852373688029573
양천구,5.45219696798024,6.426791982787907,5.246207833371066,4.78469170159452,4.607604949432171,3.750458922872716,4.7021112095577235,4.960504282226645,4.494781181804341,5.5065333664327145,4.632869105929621,5.878503407501015
강서구,5.316459604555752,5.519230473021888,5.385313201512962,5.370597713496509,5.288853660497869,4.3679198723711945,5.098562267352539,5.192855669551799,4.938422329726678,5.778270865024991,4.894033729357344,5.461957762991611
구로구,4.947897056864324,5.5220296814881245,6.216550969265778,5.683312375472988,4.978141386788447,4.145439958740437,4.9714723470426145,5.116833218371802,4.6490070744523555,5.4785497288549445,5.03635858691771,5.318064428435504
금천구,5.490782538056071,5.418188845230098,5.520891723257032,5.349428906135598,5.194864448074168,4.4089765559485175,4.850294495170644,4.425221488475323,4.398030380114834,4.840964380378345,4.790690508342472,5.669758275930647
영등포구,5.850893392912281,6.5091263532879235,6.317263406392483,5.790914762355877,5.301925615119047,4.544015290643117,5.240312751523514,5.028202506634194,4.994004899345415,5.670717725292365,5.161782067005169,5.924853837968948
동작구,7.280495884473291,7.643845248126427,6.415927972444341,5.5110020104632955,5.390751900123625,4.3244321550677975,5.063038709534466,5.315638529936108,4.902096316653856,5.518656365617206,5.045173640503023,6.010965239857707
관악구,6.650855728994447,6.97732445163583,6.747814290021104,5.704038777076967,5.518621264391547,4.624060714232147,6.140853081278088,5.88070599829772,5.293670263136311,5.84650272836794,5.480243682377767,6.174807025644272
서초구,7.472251623836708,8.360189901930209,6.961238427331448,5.903030723511523,5.559345156889496,4.789858131828092,6.087313329326367,6.245779293865041,5.500678347718154,6.3141301397943215,5.644290145742954,6.8360671828359285
강남구,7.649576382216787,8.929638010036141,7.299626218709976,6.548079850389249,6.1760173629951165,5.409270558868395,6.516856849839675,6.660162068116962,6.17452555845163,7.135300644206868,5.993555316863588,7.46498641520124
송파구,9.324969606421467,10.901424832800233,9.672524971551397,8.06783126415101,7.068238743967255,5.371949838798374,6.177404979587143,5.724000115011933,5.190773873679673,6.25166296320267,5.850132802363487,6.848312409628611
강동구,5.595644446951959,6.245382094653664,6.040984532008581,5.683126735758314,5.400846262341326,4.382413964187452,7.33046304456432,6.110035477264334,5.149495163966944,11.150222418699748,8.246290377497337,8.124216151371394
