통계표,계정항목,단위,가중치,변환,2022,2021,2020,2019,2018,2017
"4.2.1. 소비자물가지수","총지수","2020=100","1000","원자료","107.71","102.5","100","99.466","99.086","97.645"
"4.2.1. 소비자물가지수","총지수","%","1000","전년말대비증감률","5.1","2.5","0.5","0.4","1.5","1.9"
