,EC급액,EC배액,pH급액,pH배액,내부이산화탄소,평균온도,J/Day,온도토양,온도급액,온도배액,EC비율,pH비율,과중,당도,산도
0,3.0369975255840007,4.862508,5.7244,5.9176,403.0,17.106,1199.0,17.820476438006267,15.924708824984897,12.404879546566736,1.6010905372947124,1.033750262036196,205.0,4.1,4.0
1,2.8055537996891324,3.8816244346813304,5.674707269400415,6.057672347920711,443.9956472641169,19.850728686703377,1023.5066264974579,17.86211475094116,17.86912532979075,18.139669467324747,1.3835501693503192,1.067486314331199,210.0,4.7,4.0
2,2.7610882640410495,4.205790695740395,5.777273195876289,5.955974226804124,489.1443298969072,17.203298969072165,1157.0,17.596866042808443,17.4838248866368,17.591480032261842,1.5232365985957004,1.0309317258971566,205.0,4.7,4.0
3,2.804626817225955,4.103063848704387,5.600740357106039,5.996912733749745,436.85090713056513,19.249896174735028,1297.0,18.213374846785882,17.890496994640603,17.953898089445932,1.462962495938305,1.0707357155275117,206.0,4.7,4.5
4,2.833401505675356,4.145968361077003,5.605599508903962,6.0021237744678935,438.1797889795333,19.085904883771235,1297.0,18.150927069420433,17.786057228516917,17.821378274827754,1.4632477440181177,1.0707371735947404,223.0,4.3,4.0
5,2.7927848585455273,4.432066844836509,5.709284263959392,5.918208121827411,512.4010152284264,16.80045685279188,1199.0,17.431679465008813,17.45459778199691,17.445275458857754,1.5869703787869698,1.0365937039055628,225.0,4.4,4.0
6,2.6536795302013423,4.759378120805369,5.671466849806729,5.882973154362416,484.80961177197275,21.356268206032638,936.0,15.732376623143054,16.508788272432795,13.665286862408845,1.7935014633979791,1.0372930513669307,200.0,4.3,4.0
7,2.8100540081844585,4.031949659408811,5.748771276595745,5.907164893617021,457.92918785962445,17.45531914893617,1157.0,17.52567966296583,17.327620001267633,17.418100357128,1.4348299526149693,1.0275526037478868,239.0,4.1,4.0
8,2.95793247311828,3.8897950162720347,6.076204301075268,5.830677419354839,444.82638950055014,22.49160451612903,1073.0,16.894489247311828,17.831317204301076,17.304435483870968,1.3150384775928898,0.9595920628151066,202.0,4.2,4.0
9,2.95793247311828,4.0138179002066625,6.076204301075268,5.830677419354839,455.24317867574393,22.49160451612903,1107.0,16.894489247311828,17.831317204301076,17.304435483870968,1.3569673874181645,0.9595920628151066,280.0,4.1,3.5
10,2.95793247311828,3.5181719621955505,6.076204301075268,5.830677419354839,440.35859504545954,22.49160451612903,678.4474576271189,16.894489247311828,17.831317204301076,17.304435483870968,1.1894023931136808,0.9595920628151066,195.0,4.8,4.0
11,2.8552296103286476,4.085232002499203,5.625907692307692,5.828215384615384,459.7384615384616,21.80887179487179,1157.0,17.271360768197837,17.959306690840194,17.70823990408148,1.4307893094555633,1.0359600091882608,234.0,4.2,4.0
12,2.85415325383493,4.1732075402632525,5.826008258005933,6.103276213456397,462.8017301831318,19.19465655651905,1065.9546924199303,17.493214796802064,17.682446789947516,17.80751803670307,1.4621525787572898,1.0475914113354456,397.0,4.1,4.0
13,2.95793247311828,3.893555830020164,6.076204301075268,5.830677419354839,445.27031373553325,22.49160451612903,1073.0,16.894489247311828,17.831317204301076,17.304435483870968,1.31630991085998,0.9595920628151066,205.0,4.2,4.0
14,2.8364806254398225,3.964066303028437,5.705125299115933,6.069717619259729,447.87299646543863,19.454550834089133,1032.1392526034165,17.67061430898906,17.73072196264546,17.952748901477054,1.3975298359084585,1.0639061021499903,248.0,4.2,4.0
15,3.084653390759522,4.94772908496732,5.619529411764706,5.791307189542484,483.01791007970394,23.108888888888888,1035.2321942172907,16.671938810502667,17.186776532258182,14.315582534663701,1.6039821847695699,1.0305680004838402,294.0,4.3,4.0
16,2.8244886804150955,4.024688532628967,5.752474111541986,6.080290193558524,453.6341663031768,19.58902399877374,1045.2961995657395,17.706029189133673,17.80199569763613,18.00327452578313,1.4249264160752404,1.056986972154954,306.0,4.5,4.0
17,2.95793247311828,3.778823299958339,6.076204301075268,5.830677419354839,437.81608172697054,22.49160451612903,1013.0,16.894489247311828,17.831317204301076,17.304435483870968,1.2775218279322882,0.9595920628151066,157.0,4.2,4.0
18,2.8305352971040687,3.8576841128074237,5.664690658015422,6.062704337978044,442.8881847246131,19.58054078756166,1000.0,17.68408835707652,17.75494508430807,18.078297352869615,1.3628814721915798,1.0702622091816154,190.0,4.2,4.0
19,2.95793247311828,3.821445855770482,6.076204301075268,5.830677419354839,442.8472230567817,22.49160451612903,1013.0,16.894489247311828,17.831317204301076,17.304435483870968,1.2919314049593154,0.9595920628151066,191.0,4.2,4.0
20,2.95793247311828,3.690226241320988,6.076204301075268,5.830677419354839,461.308128416881,22.49160451612903,678.4474576271189,16.894489247311828,17.831317204301076,17.304435483870968,1.2475694678150366,0.9595920628151066,329.0,4.2,4.0
21,2.8227875702966987,3.8220025815436136,5.626840096125747,6.047839954023745,437.50359448643155,19.457840329015227,1007.5337307368461,17.697298187214813,17.736671148533063,18.010527564253007,1.353981653370356,1.0748199434684254,140.0,4.2,4.5
22,2.8298679242234357,3.9261785798393856,5.7134688301713705,6.075871211596622,447.9560088280019,19.389954516927702,1000.0,17.554228690521043,17.724628068310576,17.972559636065757,1.387407004486542,1.0634294842935865,236.0,4.2,4.5
23,2.792338579244319,3.974758436719158,5.764647058823529,5.953877005347594,470.5802171464312,15.695026737967911,1025.2890771300001,17.446903766002904,17.104637328108478,17.422692183429756,1.4234514633232025,1.0328259379270104,241.0,4.2,4.5
