,EC급액,EC배액,pH급액,pH배액,내부이산화탄소,평균온도,J/Day,온도토양,온도급액,온도배액,EC비율,pH비율,과중,당도,산도
0,2.8983933753780047,4.896149034248602,5.733,5.85,565.0,16.662725123104735,1199.0,16.793713421244817,17.136054369724107,16.928440904448642,1.6892631192996888,1.0204081632653061,205.0,4.1,4.0
1,2.95793247311828,3.550893259935524,6.076204301075268,5.830677419354839,460.35256526137414,22.49160451612903,678.4474576271189,16.894489247311828,17.831317204301076,17.304435483870968,1.200464612429823,0.9595920628151066,210.0,4.7,4.0
2,2.95793247311828,3.5442515630993157,6.076204301075268,5.830677419354839,459.5569931016339,22.49160451612903,678.4474576271189,16.894489247311828,17.831317204301076,17.304435483870968,1.1982192275548915,0.9595920628151066,205.0,4.7,4.0
3,2.8508019979189356,3.9272370913439207,5.668658798075381,6.054312939222754,443.12616048709356,20.163794693383863,997.3129921408894,18.05618930889942,17.73630493849089,17.653686945174535,1.3775902690578914,1.0680326960723603,206.0,4.7,4.5
4,2.956965545677935,4.84092,5.678,5.881,543.0,17.255000000000003,956.6259301582908,16.883558234306847,17.406070805355526,18.16752141977539,1.6371242495793557,1.0357520253610426,223.0,4.3,4.0
5,2.8556128757853436,3.9551544125074507,5.687138127502191,6.0613308616348505,448.25448622095746,20.336157618289775,1000.1281335334716,17.86320221452631,17.65964366308912,17.677046715706616,1.3850457273273478,1.0657963154302719,225.0,4.4,4.0
6,2.95793247311828,3.9904263549500563,6.076204301075268,5.830677419354839,441.4509594880137,22.49160451612903,1151.135593220339,16.894489247311828,17.831317204301076,17.304435483870968,1.3490593146446346,0.9595920628151066,200.0,4.3,4.0
7,2.867056544685047,3.985324136648927,5.699899049272172,6.0614559229963945,450.69700365866083,20.103666025176437,1002.8313556207383,17.72309921706811,17.59610344298065,17.644347866894336,1.3900402990087257,1.0634321539028642,239.0,4.1,4.0
8,2.95793247311828,4.017450075719083,6.076204301075268,5.830677419354839,440.8161220325526,22.49160451612903,1176.0,16.894489247311828,17.831317204301076,17.304435483870968,1.3581953314450919,0.9595920628151066,202.0,4.2,4.0
9,2.95793247311828,3.9496810138026692,6.076204301075268,5.830677419354839,464.41164034883536,22.49160451612903,1013.0,16.894489247311828,17.831317204301076,17.304435483870968,1.3352843750482506,0.9595920628151066,280.0,4.1,3.5
10,2.95793247311828,3.5302742328592807,6.076204301075268,5.830677419354839,458.0196728560286,22.49160451612903,678.4474576271189,16.894489247311828,17.831317204301076,17.304435483870968,1.193493855908628,0.9595920628151066,195.0,4.8,4.0
11,2.8631123161921455,3.974744514965213,5.695389039177343,6.061336913246144,449.84120615259735,20.18182599744307,1001.8587669295533,17.76985637400678,17.617323953117086,17.65548671751435,1.3882600736570143,1.0642533585592706,234.0,4.2,4.0
12,2.878861403637025,4.454094787680122,5.748771276595745,5.907164893617021,482.9122262367164,17.45531914893617,1157.0,17.58409497191218,17.278032302976698,17.611526176399153,1.547172358507088,1.0275526037478868,397.0,4.1,4.0
13,2.95793247311828,3.547721245937362,6.076204301075268,5.830677419354839,459.2878727322552,22.49160451612903,678.4474576271189,16.894489247311828,17.831317204301076,17.304435483870968,1.199392237036879,0.9595920628151066,205.0,4.2,4.0
14,2.864370712391116,4.689214972046184,5.7032113402061855,5.9150206185567,524.3505154639175,16.76201030927835,1199.0,17.32558972629893,17.212306702237406,17.279082888348405,1.637083828486616,1.0371385988902977,248.0,4.2,4.0
15,2.8608291063995175,4.510132304136583,5.772736263736263,5.951989010989011,499.7197802197802,17.209670329670328,1157.0,17.47757927150016,17.266249163204186,17.412127589223132,1.576512310381513,1.0310516086416064,294.0,4.3,4.0
16,2.885124073087159,4.079520909054494,5.748771449653418,6.0811610903548186,458.1379456367731,20.24332175349565,1017.6063276630739,17.895470662694862,17.67043148735187,17.626463104219134,1.4139845655543333,1.057819247749263,306.0,4.5,4.0
17,2.95793247311828,3.4839609563097476,6.076204301075268,5.830677419354839,451.6503799987488,22.49160451612903,678.4474576271189,16.894489247311828,17.831317204301076,17.304435483870968,1.1778365422375323,0.9595920628151066,157.0,4.2,4.0
18,2.6510349681528664,4.766694904458598,5.611701682899248,5.887261146496815,439.8152866242039,19.865376374776304,936.0,16.66752239803752,18.801085133946238,22.313091474290232,1.7980505582617183,1.049104439111097,190.0,4.2,4.0
19,2.90137231201701,4.675245847964298,5.76874269005848,5.948105263157895,562.6374269005848,19.03134502923977,938.9230471392549,16.868620739521546,17.715059380058022,17.565524780437354,1.6113912125652383,1.0310921430779914,191.0,4.2,4.0
20,2.8990270765543364,4.129932944332918,5.769175034514706,6.095889460381144,461.56088480137896,19.993425283227737,1000.0,17.747575488901973,17.652090057468186,17.72514219439168,1.4245927462124932,1.056631047578178,329.0,4.2,4.0
21,2.8357062416693513,3.8363444949172187,5.620257776356134,6.027888636169564,436.0292496000375,19.95512965364418,1000.0,17.841889290655615,17.622045603262812,17.586273961448256,1.3528709139698483,1.0725288547312355,140.0,4.2,4.5
22,2.9660634069115446,4.665653163265306,5.711479591836735,5.874540816326531,562.0,17.286530612244896,951.5350488035753,16.675630865298572,17.181991569473787,16.949020192010206,1.5730119431679592,1.0285497342444951,236.0,4.2,4.5
23,2.95793247311828,3.988073349224262,6.076204301075268,5.830677419354839,445.4032825638119,22.49160451612903,1073.0,16.894489247311828,17.831317204301076,17.304435483870968,1.3482638246369423,0.9595920628151066,241.0,4.2,4.5
